time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,175.26075024,18.5028153086,22.4403193371,37.2022089341
0,malpica,10,amphora_2,157.483916264,18.3398208814,21.4537259929,36.2860513547
0,malpica,10,amphora_3,171.155406752,18.0770449035,30.7557221295,38.2387243771
0,malpica,10,amphora_4,162.607032068,14.5712237011,29.5655116269,37.4862673409
0,malpica,10,amphora_5,154.233760916,9.69331145524,34.5904098358,35.778938175
0,malpica,10,amphora_6,164.984232237,19.360766294,30.9318631073,35.7915988196
0,malpica,10,amphora_7,164.629568059,17.1743264372,30.5457520651,38.3165346667
0,malpica,10,amphora_8,178.483124037,18.6920815725,32.8786381364,38.1405920034
0,malpica,10,amphora_9,162.331278523,17.2816582264,35.9479269523,34.7246305652
0,malpica,10,amphora_10,163.799600287,14.6551007076,28.8589281206,35.9598064603
0,malpica,10,amphora_11,153.131579116,25.2745300295,25.6487681467,38.9023404735
0,malpica,10,amphora_12,168.96880962,11.6900706693,28.1998487955,36.3415719942
0,malpica,10,amphora_13,181.047057525,15.8786025987,33.046862378,39.7857957365
0,malpica,10,amphora_14,171.10663949,25.1092356466,28.8403293412,35.2776740498
0,malpica,10,amphora_15,167.929176123,9.87221304405,26.6921743477,41.0455968833
0,malpica,10,amphora_16,160.011198465,17.5649711822,33.9647407155,37.6801245566
0,malpica,10,amphora_17,150.474348977,16.190331152,35.9353552872,37.8166251601
0,malpica,10,amphora_18,153.380588744,15.632250549,34.3598290258,35.2888036809
0,malpica,10,amphora_19,170.107706002,21.4235242705,34.8470548013,33.4444901184
0,malpica,10,amphora_20,161.007656554,19.7090830646,26.5177578786,35.8316996154
0,malpica,10,amphora_21,172.547632747,19.5000515723,33.3465034886,35.4721962283
0,malpica,10,amphora_22,162.030732667,16.5052591218,31.7740288896,36.6177992732
0,malpica,10,amphora_23,171.247969163,8.58879665393,27.7897558852,39.3435960625
0,malpica,10,amphora_24,175.210006653,9.73881542059,28.2721057985,41.4932081007
0,malpica,10,amphora_25,185.815841459,12.6587985276,25.8279295028,37.9777827493
0,malpica,10,amphora_26,154.082698244,20.6330668029,35.6038384264,33.9829363446
0,malpica,10,amphora_27,163.564220328,26.0949535283,27.4125683739,33.6489021511
0,malpica,10,amphora_28,163.216360461,12.0153046307,29.282226746,36.0073130213
0,malpica,10,amphora_29,157.889189639,16.0865459612,35.2964041682,35.2220190424
0,malpica,10,amphora_30,156.145566687,17.9088899085,32.4230415034,37.2736150919
0,malpica,10,amphora_31,168.30402521,23.4703566973,29.3708860267,37.5443287353
0,malpica,10,amphora_32,161.379214295,24.2443702132,34.4385369871,34.1277356132
0,malpica,10,amphora_33,164.126053788,23.1567967819,30.6529860239,39.1206271001
0,malpica,10,amphora_34,180.667314767,19.3998560054,30.0878523095,33.9714337662
0,malpica,10,amphora_35,154.280112477,21.2719529566,29.2722547118,38.2321525249
0,malpica,10,amphora_36,186.025328435,17.0259066124,24.8386680234,41.8793842621
0,malpica,10,amphora_37,179.87754822,25.2889171514,37.5215535238,32.5681495031
0,malpica,10,amphora_38,177.133211934,20.1707765676,30.7248552294,35.5730374417
0,malpica,10,amphora_39,181.489964513,17.4618790712,28.1642134626,34.2956419979
0,malpica,10,amphora_40,170.727869161,21.7766696468,32.1045186961,38.3089811403
0,malpica,10,amphora_41,178.727957618,21.2299775972,26.1173750955,37.0024244261
0,malpica,10,amphora_42,155.552302411,20.5258806386,43.6387261883,38.8129482301
0,malpica,10,amphora_43,152.687789196,13.9166907631,22.6200910026,38.0125215108
0,malpica,10,amphora_44,155.363528433,26.7750293079,25.3973466421,36.6778206601
0,malpica,10,amphora_45,163.853448307,12.2041253446,31.4710135664,36.2394318225
0,malpica,10,amphora_46,173.078763629,20.5933794405,27.0692502954,35.284783874
0,malpica,10,amphora_47,152.457289006,16.9001057416,36.2260773,33.5055294855
0,malpica,10,amphora_48,157.306137533,19.0145086136,27.6485589836,40.4299416373
0,malpica,10,amphora_49,162.198751352,22.1946063736,31.0144569009,38.2557367125
0,malpica,10,amphora_50,164.754896971,18.3205479199,33.8058370929,36.7300795526
0,malpica,10,amphora_51,176.461833332,12.7243098713,31.5653444241,37.1279920631
0,malpica,10,amphora_52,162.164260463,16.1960554648,29.715675899,37.6917034991
0,malpica,10,amphora_53,167.168366107,15.1214329223,29.7723996477,37.6099531452
0,malpica,10,amphora_54,156.883937863,20.3895155449,27.5502175536,36.4366448581
0,malpica,10,amphora_55,173.425777533,9.36969374389,26.5910423238,35.6280227245
0,malpica,10,amphora_56,186.791989616,23.5277767451,31.2818548449,37.0539388523
0,malpica,10,amphora_57,162.650068817,22.0246435559,27.7454871595,40.1337196431
0,malpica,10,amphora_58,183.069687061,11.7643024191,30.1464581484,30.9264536354
0,malpica,10,amphora_59,172.359118382,13.3511265096,26.5301764456,37.9330245294
0,malpica,10,amphora_60,152.750240471,21.1257157341,30.0590403394,35.955230328
0,malpica,10,amphora_61,149.702797293,12.2725816551,31.8103479173,35.8584430772
0,malpica,10,amphora_62,155.596170122,20.4395134783,31.0909147594,38.6854929982
0,malpica,10,amphora_63,168.16616238,24.7138240847,27.197864567,39.1584783887
0,malpica,10,amphora_64,155.643408755,17.3267407243,30.7423403925,38.4703305934
0,malpica,10,amphora_65,177.206213935,21.3467755838,29.2844838338,40.215021758
0,malpica,10,amphora_66,165.703860762,17.4901296017,34.3423669295,35.3486771274
0,malpica,10,amphora_67,158.91555467,19.2205534054,31.4408537904,40.268450268
0,malpica,10,amphora_68,171.716968582,22.0287689867,32.7510441336,34.9278731539
0,malpica,10,amphora_69,181.810427627,15.8573723325,35.4299770097,34.8824901658
0,malpica,10,amphora_70,163.674436901,12.5097772399,30.5082376181,38.0617793162
0,malpica,10,amphora_71,168.596198218,16.4912785034,34.2485237658,38.506839036
0,malpica,10,amphora_72,157.500756134,11.6712634849,31.5547117048,39.2853935287
