time,workshop,dist,amphora,exterior_diam,protruding_rim,rim_w,rim_w_2
0,malpica,10,amphora_1,168.152444408,11.4709397582,33.5944167745,35.4427303122
0,malpica,10,amphora_2,159.064414848,20.117459717,26.7228178563,38.7657012153
0,malpica,10,amphora_3,165.021454963,21.3989650026,26.1862837985,37.6431879074
0,malpica,10,amphora_4,160.768028245,25.55827604,24.9282612051,36.6162658975
0,malpica,10,amphora_5,151.623807084,21.5970075655,26.9718398876,36.0991990509
0,malpica,10,amphora_6,163.994443984,14.0123667735,30.7684344091,36.8128676728
0,malpica,10,amphora_7,180.321292555,17.9282595164,33.4936916755,39.9230717383
0,malpica,10,amphora_8,152.813122007,11.2124634476,34.7050289451,34.0060050485
0,malpica,10,amphora_9,157.856440406,21.942857572,36.9624811246,36.1474288904
0,malpica,10,amphora_10,170.701307384,12.427133832,23.8087985659,40.5981747123
0,malpica,10,amphora_11,163.47755804,17.0284876061,33.3346270487,38.1377575099
0,malpica,10,amphora_12,174.240351477,13.1686965747,34.9391770684,34.2786382924
0,malpica,10,amphora_13,161.680904585,15.2670419251,33.3717708257,34.4902457208
0,malpica,10,amphora_14,191.47579329,21.3271497611,32.5579969571,35.8324347385
0,malpica,10,amphora_15,165.549243733,23.6123538097,40.6361252595,35.3869512659
0,malpica,10,amphora_16,180.730914338,23.5944655996,35.1247529339,39.2573118016
0,malpica,10,amphora_17,171.563993743,12.9485377482,30.6119101096,35.7045590049
0,malpica,10,amphora_18,170.40409866,6.13077646355,31.8705625355,32.7260680285
0,malpica,10,amphora_19,175.457674659,14.5482394659,27.3507508983,36.5388033584
0,malpica,10,amphora_20,165.829783356,28.8385368074,30.8303900752,41.0885139251
0,malpica,10,amphora_21,172.837711796,17.4638141899,31.8969452382,36.8937165227
0,malpica,10,amphora_22,162.991945566,16.0697099397,25.4656762246,36.9869316382
0,malpica,10,amphora_23,172.891849226,15.0198736076,35.2566540149,36.871514791
0,malpica,10,amphora_24,174.733265954,13.4748607245,34.2269622199,36.1169555833
0,malpica,10,amphora_25,184.120242062,18.0930155964,26.4158576702,38.6664615587
0,malpica,10,amphora_26,171.493261698,27.7302715649,27.4246327153,34.7183762069
0,malpica,10,amphora_27,168.912773206,20.587550636,25.1845664953,39.7192134484
0,malpica,10,amphora_28,180.358666617,4.2418164933,30.2706560593,36.5240029067
0,malpica,10,amphora_29,158.792675647,21.5872104879,25.0397872408,30.7059877887
0,malpica,10,amphora_30,168.095620102,20.570878274,31.0003513848,32.0046642781
0,malpica,10,amphora_31,171.029834612,25.7657987173,30.1919642614,39.109428188
0,malpica,10,amphora_32,182.551005587,23.3834973776,33.6029484596,36.3972064942
0,malpica,10,amphora_33,179.783177072,16.7858353883,24.7683615622,39.5329514876
