"","id","lat","long","type","site","code","locationtype","country"
"4",14036,50.28721,8.944586,"Dressel 20","Altenstadt","CANTQVI","Military Camp","Germany"
"5",14227,50.28721,8.944586,"Dressel 20","Altenstadt","PCLICELI","Military Camp","Germany"
"6",14356,50.28721,8.944586,"Dressel 20","Altenstadt","LFFV","Military Camp","Germany"
"7",14428,50.28721,8.944586,"Dressel 20","Altenstadt","QIAFS","Military Camp","Germany"
"8",14435,50.28721,8.944586,"Dressel 20","Altenstadt","QIAF","Military Camp","Germany"
"9",27368,50.28721,8.944586,"Dressel 20","Altenstadt","FLQR","Military Camp","Germany"
"10",14282,51.733333,6.283333,"Dressel 20","Altkalkar","LFC","Military Camp","Germany"
"11",14370,51.733333,6.283333,"Dressel 20","Altkalkar","LFO","Military Camp","Germany"
"12",18861,51.733333,6.283333,"Dressel 20","Altkalkar","SAXOFERRI","Military Camp","Germany"
"13",18862,51.733333,6.283333,"Dressel 20","Altkalkar","TATASIATICCI","Military Camp","Germany"
"14",18863,51.733333,6.283333,"Dressel 20","Altkalkar","QIAF","Military Camp","Germany"
"15",27386,49.746574,8.115128,"Dressel 20","Alzey","QIAFS","Military Camp","Germany"
"16",27387,49.746574,8.115128,"Dressel 20","Alzey","LIVNIMELISSI","Military Camp","Germany"
"17",27388,49.746574,8.115128,"Dressel 20","Alzey","IIIVNMELISSIETMELISSE","Military Camp","Germany"
"18",27389,49.746574,8.115128,"Dressel 20","Alzey","LCHE","Military Camp","Germany"
"19",27390,49.746574,8.115128,"Dressel 20","Alzey","CAEFM","Military Camp","Germany"
"20",27391,49.746574,8.115128,"Dressel 20","Alzey","SLFCL","Military Camp","Germany"
"21",27392,49.746574,8.115128,"Dressel 20","Alzey","CSL","Military Camp","Germany"
"22",27393,49.746574,8.115128,"Dressel 20","Alzey","LCFPC","Military Camp","Germany"
"23",27394,49.746574,8.115128,"Dressel 20","Alzey","POPVLI","Military Camp","Germany"
"24",27395,49.746574,8.115128,"Dressel 20","Alzey","PVAFAV","Military Camp","Germany"
"25",27396,49.746574,8.115128,"Dressel 20","Alzey","QAHVAE","Military Camp","Germany"
"28",14152,48.805827,9.241809,"Dressel 20","Bad Cannstatt","MCFRICD","Military Camp","Germany"
